_id,School_Id,Org_Name,Telephone,Fax,Email,Contact1_Name,URL,Add1_Line1,Add1_Suburb,Add1_City,Add2_Line1,Add2_Suburb,Add2_City,Add2_Postal_Code,Urban_Rural_Indicator,Org_Type,Definition,Authority,School_Donations,CoEd_Status,KMEPeakBody,Takiwā,Territorial_Authority,Regional_Council,Local_Office_Name,Education_Region,General_Electorate,Māori_Electorate,Statistical_Area_2_Code,Statistical_Area_2_Description,Ward,Col_Id,Col_Name,Latitude,Longitude,Enrolment_Scheme,EQi_Index,Roll_Date,Total,European,Māori,Pacific,Asian,MELAA,Other,International,Isolation_Index,Language_of_Instruction,BoardingFacilities,CohortEntry,Status,DateSchoolOpened
1,3495,Runanga School,03-7627873,"","",Carmen Hartley,http://www.runanga.school.nz/,Mcgowan Street ,"",Runanga,Mcgowan Street,"",Runanga,7803,Small urban area,Full Primary,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Runga,Grey District,West Coast Region,Nelson Office,"Nelson, Marlborough, West Coast",West Coast-Tasman,Te Tai Tonga,310000,Rūnanga,Northern Ward,99026,Māwhera Kāhui Ako,-42.399339,171.252152,No,530,2025-04-01T00:00:00,24,20,6,0,0,1,0,0,3.35,All students taught in English,No,No,Open,1906-01-26T00:00:00
2,639,Pa Harakeke Teen Parent Unit,07-886 6109 Ext 706,07-8865792,info@tokoroahigh.school.nz,William Ford,"",Billah Street ,"",Tokoroa,Private Bag,"",Tokoroa,3444,Medium urban area,Teen Parent Unit,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Whenua,South Waikato District,Waikato Region,Hamilton Office,Waikato,Taupō,Te Tai Hauāuru,186400,Matarawa,Tokoroa Ward,"","",-38.225977,175.861546,No,569,,,,,,,,,,0.86,All students taught in English,No,No,Open,2011-01-01T00:00:00
3,1662,Huia Range School,06-3746444,06-3749268,office@huiarange.school.nz,Lindsey Randall,http://www.huiarange.school.nz/,Cole Street ,"",Dannevirke,Cole Street,"",Dannevirke,4930,Small urban area,Full Primary,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Runga,Tararua District,Manawatū-Whanganui Region,Lower Hutt Office,Wellington,Wairarapa,Ikaroa-Rāwhiti,233300,Dannevirke East,North Tararua General Ward,99047,Dannevirke Community of Learning,-40.199761,176.108970,No,529,2025-04-01T00:00:00,230,89,135,22,13,5,2,0,0.87,All students taught in English,No,No,Open,2004-01-01T00:00:00
4,1666,Te Kura o Waikare,09-4037385,09-4038095,waikare.school@xtra.co.nz,Te Rerenga Walker,http://www.tekuraowaikare.school.nz/,Waikare Valley Road ,Waikare,Kawakawa,Waikare Valley Road RD 3,"",Kawakawa,0283,Rural other,Composite,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,104400,Russell Forest-Rawhiti,Bay of Islands-Whangaroa General Ward,"","",-35.339899,174.234208,No,533,2025-04-01T00:00:00,70,0,70,3,0,0,0,0,1.95,All students taught in te reo Māori,No,No,Open,2004-10-04T00:00:00
5,1668,Wairoa Primary School,06-8386209,06-8383940,office@wairoaprimary.school.nz,Karen PAKU (Acting),"",29 Campbell Street ,"",Wairoa,PO Box 146,"",Wairoa,4160,Small urban area,Contributing,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Whenua,Wairoa District,Hawke's Bay Region,Napier Office,"Hawke's Bay, Tairāwhiti",Napier,Ikaroa-Rāwhiti,207800,Wairoa,Wairoa General Ward,99091,Mata Nui o Kahungunu,-39.037376,177.424710,No,540,2025-04-01T00:00:00,282,51,258,20,6,1,1,0,2.04,Some students taught in te reo Māori,No,No,Open,2005-01-28T00:00:00
6,1674,TKKM o Te Wananga Whare Tapere o Takitimu,06-8786340,06-8786330,admin@wharetapere.school.nz,Fleur Wainohu,http://www.schoolground.co.nz/kuratakitimu ,106 Bennett Road ,Waipatu,Hastings,PO Box 1342,"",Hastings,4156,Rural other,Composite,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,Te Rūnanga nui o ngā Kura Kaupapa Māori o Aotearoa,Te Tai Whenua,Hastings District,Hawke's Bay Region,Napier Office,"Hawke's Bay, Tairāwhiti",Tukituki,Ikaroa-Rāwhiti,210400,Karamu,Heretaunga General Ward,99203,Kahungunu Kāhui Ako,-39.619870,176.870381,No,518,2025-04-01T00:00:00,250,11,246,21,1,0,0,0,0.13,All students taught in te reo Māori,No,No,Open,1996-01-26T00:00:00
7,1688,Arohena School,07-8724526,07-8724527,admin@arohena.school.nz,Justine Kingi,http://arohena.school.nz,40 Pukewhau Road ,"",Te Awamutu,40 Pukewhau Road RD 7,"",Te Awamutu,3877,Rural other,Full Primary,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Whenua,Ōtorohanga District,Waikato Region,Hamilton Office,Waikato,Taranaki-King Country,Te Tai Hauāuru,185700,Puniu,Wharepuhunga General Ward,"","",-38.192977,175.615065,No,487,2025-04-01T00:00:00,31,20,7,0,5,0,0,0,1.29,All students taught in English,No,No,Open,1929-10-01T00:00:00
8,1698,Broadlands School,07-3338576,07-3338577,office@broadlands.school.nz,Graeme Taylor,http://www.broadlands.school.nz,2986 Broadlands Road ,"",Reporoa,2986 Broadlands Road RD 1,"",Reporoa,3081,Rural other,Contributing,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Whenua,Rotorua District,Waikato Region,Rotorua Office,"Bay of Plenty, Waiariki",Rotorua,Waiariki,201800,Golden Springs,Rotorua Rural General Ward,99133,Reporoa Community of Learning,-38.511393,176.332745,No,459,2025-04-01T00:00:00,119,85,44,6,3,3,2,0,0.94,All students taught in English,No,No,Open,1939-01-26T00:00:00
9,1701,Cambridge Middle School,07-8275135,07-8231328,office@cms.school.nz,Daryl Gibbs,http://www.cms.school.nz,Clare Street ,"",Cambridge,Clare Street,"",Cambridge,3434,Medium urban area,Restricted Composite (Year 7-10),"",State,Donations may be requested,Co-Educational,"",Te Tai Whenua,Waipa District,Waikato Region,Hamilton Office,Waikato,Taupō,Hauraki-Waikato,182700,Cambridge West,Cambridge General Ward,99034,Te Kāhui Ako o Te Oko Horoi,-37.887159,175.462246,Yes,429,2025-04-01T00:00:00,658,549,105,20,70,24,4,0,0.33,All students taught in English,No,No,Open,1961-02-01T00:00:00
10,1713,Elstow-Waihou Combined School,07-8845802,07-8845803,admin@elstow-waihou.school.nz,Doug Black,http://www.elstow-waihou.school.nz,356 Bowler Road ,"",Te Aroha,356 Bowler Road RD 2,"",Te Aroha,3392,Rural other,Full Primary,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Whenua,Matamata-Piako District,Waikato Region,Hamilton Office,Waikato,Waikato,Hauraki-Waikato,173600,Mangaiti,Te Aroha General Ward,99202,Te Aroha Kāhui Ako,-37.523479,175.638269,Yes,456,2025-04-01T00:00:00,175,150,30,6,14,0,0,0,0.86,All students taught in English,No,No,Open,1903-01-26T00:00:00
